Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-39,-41,-37,1
1,-49,-38,-35,1
1,-52,-39,-36,1
1,-53,-39,-35,1
1,-47,-39,-35,1
1,-46,-38,-36,1
1,-44,-39,-36,1
1,-44,-39,-36,1
1,-45,-39,-35,1
1,-45,-39,-36,1
1,-45,-39,-35,1
1,-45,-39,-35,1
1,-45,-38,-36,1
1,-44,-38,-36,1
1,-45,-37,-35,1
1,-45,-37,-35,1
1,-44,-37,-36,1
1,-45,-38,-36,1
1,-45,-37,-35,1
1,-45,-37,-36,1
1,-45,-38,-36,1
1,-46,-37,-35,1
1,-46,-38,-35,1
1,-45,-38,-35,1
1,-45,-37,-36,1
1,-44,-37,-35,1
1,-44,-37,-35,1
1,-43,-38,-35,1
1,-43,-38,-35,1
1,-43,-38,-36,1
1,-43,-37,-35,1
1,-43,-37,-35,1
1,-44,-37,-35,1
1,-43,-37,-35,1
1,-43,-38,-35,1
1,-43,-38,-35,1
1,-44,-38,-35,1
1,-44,-37,-35,1
1,-44,-38,-35,1
1,-45,-37,-35,1
1,-45,-37,-35,1
1,-44,-37,-35,1
1,-45,-38,-35,1
1,-44,-38,-35,1
1,-43,-38,-35,1
1,-43,-38,-35,1
1,-44,-39,-35,1
1,-44,-39,-35,1
1,-44,-38,-35,1
1,-44,-38,-35,1
1,-44,-39,-36,1
1,-43,-38,-35,1
1,-43,-39,-36,1
1,-43,-39,-35,1
1,-43,-38,-35,1
1,-44,-37,-35,1
1,-44,-38,-35,1
1,-44,-38,-35,1
1,-43,-39,-36,1
1,-44,-38,-35,1
1,-44,-38,-35,1
1,-44,-38,-36,1
1,-43,-38,-35,1
1,-44,-38,-35,1
1,-44,-38,-35,1
1,-44,-37,-35,1
1,-44,-37,-35,1
1,-45,-38,-35,1
1,-45,-38,-35,1
2,-41,-44,-35,1
2,-41,-45,-35,1
2,-39,-46,-35,1
2,-42,-45,-35,1
2,-41,-44,-35,1
2,-41,-44,-35,1
2,-42,-44,-35,1
2,-42,-45,-35,1
2,-41,-43,-34,1
2,-42,-43,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-39,-43,-35,1
2,-41,-43,-35,1
2,-41,-44,-35,1
2,-41,-44,-35,1
2,-41,-43,-35,1
2,-41,-44,-35,1
2,-41,-44,-36,1
2,-41,-44,-35,1
2,-40,-42,-35,1
2,-40,-44,-35,1
2,-40,-43,-35,1
2,-40,-43,-35,1
2,-40,-43,-35,1
2,-40,-43,-35,1
2,-38,-43,-33,1
2,-41,-42,-34,1
2,-40,-42,-32,1
2,-40,-42,-35,1
2,-41,-42,-32,1
2,-41,-42,-34,1
2,-41,-42,-33,1
2,-38,-42,-35,1
2,-41,-42,-35,1
2,-40,-43,-35,1
2,-40,-42,-35,1
2,-40,-43,-35,1
2,-40,-43,-35,1
2,-38,-43,-35,1
2,-40,-44,-35,1
2,-41,-44,-35,1
2,-41,-44,-35,1
2,-40,-44,-35,1
2,-42,-43,-35,1
2,-41,-43,-35,1
2,-38,-44,-36,1
2,-41,-44,-35,1
2,-41,-44,-35,1
2,-41,-44,-35,1
2,-41,-43,-35,1
2,-42,-42,-35,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-41,-44,-36,1
2,-41,-44,-36,1
2,-41,-43,-36,1
2,-41,-43,-35,1
2,-41,-43,-35,1
2,-40,-43,-35,1
2,-41,-43,-36,1
2,-40,-43,-36,1
2,-40,-44,-36,1
3,-39,-39,-36,1
3,-41,-41,-36,1
3,-41,-41,-36,1
3,-42,-41,-37,1
3,-41,-39,-36,1
3,-42,-40,-36,1
3,-42,-40,-36,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-42,-39,-35,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-41,-40,-35,1
3,-41,-40,-35,1
3,-42,-39,-35,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-41,-39,-36,1
3,-41,-40,-36,1
3,-42,-39,-36,1
3,-42,-39,-36,1
3,-43,-39,-36,1
3,-41,-39,-36,1
3,-41,-39,-36,1
3,-41,-39,-36,1
3,-41,-39,-37,1
3,-41,-40,-36,1
3,-41,-40,-37,1
3,-41,-40,-36,1
3,-41,-40,-37,1
3,-41,-40,-36,1
3,-41,-40,-36,1
3,-41,-40,-36,1
3,-42,-41,-36,1
3,-42,-40,-36,1
3,-41,-40,-36,1
3,-41,-40,-36,1
3,-41,-40,-36,1
3,-42,-40,-37,1
3,-42,-38,-36,1
3,-42,-39,-37,1
3,-41,-41,-37,1
3,-41,-39,-37,1
3,-41,-39,-36,1
3,-41,-39,-36,1
3,-41,-40,-36,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-40,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-39,-36,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-40,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-39,-36,1
3,-41,-39,-36,1
3,-39,-40,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-41,-39,-37,1
3,-39,-39,-36,1
4,-40,-35,-40,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-41,-35,-38,1
4,-41,-35,-40,1
4,-40,-35,-39,1
4,-40,-35,-40,1
4,-41,-35,-38,1
4,-38,-35,-38,1
4,-41,-35,-38,1
4,-41,-35,-37,1
4,-41,-34,-38,1
4,-42,-34,-38,1
4,-41,-34,-38,1
4,-41,-35,-38,1
4,-40,-35,-38,1
4,-41,-36,-37,1
4,-42,-36,-37,1
4,-42,-36,-38,1
4,-41,-35,-38,1
4,-40,-35,-39,1
4,-40,-35,-38,1
4,-40,-35,-38,1
4,-41,-35,-38,1
4,-41,-36,-37,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-41,-35,-38,1
4,-41,-36,-38,1
4,-40,-36,-38,1
4,-40,-35,-39,1
4,-39,-35,-39,1
4,-40,-36,-39,1
4,-39,-36,-39,1
4,-40,-35,-39,1
4,-40,-36,-39,1
4,-39,-35,-39,1
4,-37,-36,-39,1
4,-40,-35,-39,1
4,-40,-35,-38,1
4,-39,-35,-39,1
4,-40,-35,-38,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-36,-38,1
4,-40,-35,-38,1
4,-41,-36,-38,1
4,-40,-37,-37,1
4,-42,-37,-38,1
4,-42,-36,-39,1
4,-41,-36,-39,1
4,-41,-36,-39,1
4,-40,-36,-39,1
4,-41,-36,-39,1
4,-40,-36,-39,1
4,-40,-36,-39,1
4,-41,-35,-39,1
4,-41,-35,-39,1
4,-41,-35,-39,1
4,-40,-35,-40,1
4,-41,-35,-39,1
4,-40,-35,-39,1
4,-41,-36,-40,1
4,-38,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
4,-40,-35,-39,1
5,-41,-39,-36,1
5,-42,-39,-35,1
5,-41,-39,-35,1
5,-41,-40,-35,1
5,-41,-39,-35,1
5,-42,-39,-35,1
5,-39,-39,-35,1
5,-42,-39,-35,1
5,-41,-40,-36,1
5,-38,-39,-35,1
5,-41,-39,-36,1
5,-41,-39,-36,1
5,-41,-39,-35,1
5,-42,-39,-35,1
5,-42,-39,-35,1
5,-42,-39,-35,1
5,-41,-38,-35,1
5,-42,-39,-36,1
5,-42,-39,-35,1
5,-41,-39,-35,1
5,-41,-38,-36,1
5,-42,-39,-35,1
5,-41,-39,-32,1
5,-41,-39,-35,1
5,-41,-38,-35,1
5,-42,-38,-35,1
5,-41,-39,-35,1
5,-41,-38,-35,1
5,-41,-39,-36,1
5,-41,-39,-36,1
5,-41,-39,-36,1
5,-41,-39,-36,1
5,-41,-39,-35,1
5,-41,-39,-35,1
5,-41,-39,-35,1
5,-41,-38,-35,1
5,-41,-39,-35,1
5,-41,-39,-35,1
5,-42,-39,-35,1
5,-41,-39,-36,1
5,-41,-39,-35,1
5,-41,-39,-35,1
5,-41,-39,-35,1
5,-41,-38,-37,1
5,-41,-39,-36,1
5,-42,-39,-35,1
5,-41,-39,-35,1
5,-42,-39,-35,1
5,-41,-39,-35,1
5,-42,-39,-35,1
5,-41,-38,-35,1
5,-41,-38,-35,1
5,-41,-38,-34,1
5,-41,-38,-35,1
5,-42,-38,-35,1
5,-41,-38,-32,1
5,-41,-38,-35,1
5,-39,-39,-35,1
5,-41,-38,-35,1
5,-41,-38,-35,1
5,-41,-38,-35,1
5,-41,-38,-35,1
5,-42,-39,-35,1
5,-41,-39,-36,1
5,-41,-39,-36,1
5,-41,-38,-35,1
5,-42,-39,-35,1
5,-41,-39,-35,1
5,-39,-39,-35,1
6,-41,-38,-36,1
6,-44,-38,-35,1
6,-44,-41,-35,1
6,-45,-41,-35,1
6,-45,-39,-35,1
