Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-39,-32,-37,2
1,-40,-36,-36,2
1,-42,-35,-36,2
1,-42,-36,-36,2
1,-42,-35,-36,2
1,-42,-36,-36,2
1,-42,-35,-36,2
1,-36,-35,-35,2
1,-37,-40,-37,2
1,-36,-36,-35,2
1,-37,-36,-36,2
1,-36,-35,-40,2
1,-40,-39,-36,2
1,-36,-35,-40,2
1,-36,-36,-36,2
1,-36,-35,-35,2
1,-52,-32,-37,2
1,-36,-35,-36,2
1,-36,-31,-37,2
1,-35,-35,-37,2
1,-38,-32,-36,2
1,-44,-35,-37,2
1,-38,-35,-36,2
1,-39,-32,-35,2
1,-40,-36,-35,2
1,-42,-36,-37,2
1,-44,-36,-36,2
1,-40,-32,-36,2
1,-35,-36,-36,2
1,-36,-35,-36,2
1,-37,-35,-37,2
1,-37,-36,-42,2
1,-37,-35,-48,2
1,-37,-35,-36,2
1,-37,-36,-37,2
1,-35,-35,-37,2
1,-43,-35,-38,2
1,-38,-35,-37,2
1,-35,-36,-37,2
1,-38,-37,-37,2
1,-38,-34,-37,2
1,-36,-41,-36,2
1,-38,-36,-37,2
1,-37,-36,-37,2
1,-37,-36,-37,2
1,-37,-36,-44,2
1,-39,-35,-42,2
1,-37,-35,-35,2
1,-36,-35,-36,2
1,-37,-36,-37,2
1,-35,-35,-36,2
1,-38,-37,-37,2
1,-38,-36,-37,2
1,-41,-34,-37,2
1,-35,-38,-36,2
1,-37,-33,-37,2
1,-36,-34,-37,2
1,-37,-35,-36,2
1,-36,-35,-38,2
1,-37,-35,-42,2
1,-37,-35,-36,2
1,-36,-32,-37,2
1,-35,-35,-36,2
1,-37,-37,-36,2
1,-39,-36,-36,2
1,-44,-36,-37,2
1,-40,-37,-37,2
1,-38,-37,-37,2
1,-32,-36,-36,2
1,-39,-32,-37,2
2,-37,-32,-36,2
2,-36,-34,-37,2
2,-38,-35,-37,2
2,-37,-35,-37,2
2,-36,-35,-41,2
2,-37,-35,-35,2
2,-36,-40,-37,2
2,-35,-35,-37,2
2,-41,-36,-37,2
2,-41,-36,-37,2
2,-36,-34,-37,2
2,-37,-34,-37,2
2,-35,-32,-37,2
2,-35,-34,-38,2
2,-31,-36,-38,2
2,-41,-35,-36,2
2,-40,-37,-37,2
2,-39,-35,-37,2
2,-38,-35,-36,2
2,-36,-35,-35,2
2,-35,-35,-36,2
2,-36,-35,-38,2
2,-36,-35,-42,2
2,-37,-38,-47,2
2,-35,-38,-39,2
2,-37,-35,-38,2
2,-35,-35,-37,2
2,-37,-32,-36,2
2,-35,-36,-37,2
2,-39,-34,-37,2
2,-39,-35,-37,2
2,-37,-36,-35,2
2,-36,-35,-38,2
2,-36,-36,-36,2
2,-36,-35,-37,2
2,-37,-36,-37,2
2,-37,-35,-38,2
2,-36,-35,-36,2
2,-36,-36,-37,2
2,-35,-37,-37,2
2,-43,-35,-36,2
2,-36,-35,-38,2
2,-36,-36,-36,2
2,-36,-34,-36,2
2,-36,-36,-37,2
2,-36,-36,-37,2
2,-36,-35,-39,2
2,-35,-35,-36,2
2,-37,-37,-44,2
2,-36,-34,-36,2
2,-35,-40,-37,2
2,-36,-35,-36,2
2,-40,-36,-36,2
2,-43,-37,-36,2
2,-40,-35,-37,2
2,-36,-35,-37,2
2,-36,-35,-38,2
2,-31,-33,-38,2
2,-32,-35,-37,2
2,-32,-34,-39,2
2,-56,-36,-36,2
2,-40,-35,-37,2
2,-38,-36,-37,2
2,-44,-35,-37,2
2,-40,-34,-36,2
2,-43,-36,-37,2
2,-37,-35,-37,2
2,-38,-34,-36,2
3,-40,-34,-36,2
3,-40,-34,-36,2
3,-37,-36,-36,2
3,-37,-39,-36,2
3,-38,-36,-36,2
3,-36,-34,-37,2
3,-36,-35,-35,2
3,-37,-35,-43,2
3,-38,-32,-43,2
3,-37,-34,-39,2
3,-36,-35,-37,2
3,-35,-34,-35,2
3,-35,-34,-36,2
3,-36,-37,-36,2
3,-40,-35,-36,2
3,-38,-36,-36,2
3,-37,-32,-36,2
3,-36,-34,-36,2
3,-37,-35,-36,2
3,-37,-34,-37,2
3,-37,-35,-36,2
3,-36,-36,-46,2
3,-37,-32,-37,2
3,-37,-35,-37,2
3,-37,-35,-36,2
3,-36,-41,-36,2
3,-40,-36,-37,2
3,-40,-36,-37,2
3,-38,-35,-36,2
3,-38,-37,-36,2
3,-37,-36,-36,2
3,-37,-36,-36,2
3,-36,-37,-36,2
3,-36,-40,-37,2
3,-37,-34,-36,2
3,-37,-32,-36,2
3,-36,-35,-37,2
3,-37,-34,-36,2
3,-37,-35,-41,2
3,-36,-35,-42,2
3,-37,-34,-48,2
3,-37,-35,-35,2
3,-35,-36,-37,2
3,-36,-35,-36,2
3,-36,-37,-36,2
3,-41,-31,-35,2
3,-37,-36,-36,2
3,-39,-35,-36,2
3,-36,-35,-36,2
3,-37,-31,-38,2
3,-37,-32,-36,2
3,-36,-35,-36,2
3,-37,-34,-38,2
3,-37,-35,-40,2
3,-39,-35,-41,2
3,-37,-36,-36,2
3,-37,-35,-35,2
3,-37,-35,-38,2
3,-36,-35,-37,2
3,-36,-32,-36,2
3,-36,-32,-36,2
3,-37,-39,-35,2
3,-36,-35,-36,2
3,-40,-35,-36,2
3,-41,-36,-36,2
3,-48,-36,-37,2
3,-38,-36,-36,2
3,-37,-32,-37,2
3,-38,-38,-35,2
4,-36,-37,-36,2
4,-37,-35,-36,2
4,-39,-34,-36,2
4,-44,-37,-36,2
4,-40,-34,-37,2
4,-38,-35,-36,2
4,-39,-35,-36,2
4,-37,-36,-36,2
4,-37,-35,-36,2
4,-36,-35,-36,2
4,-37,-34,-37,2
4,-37,-35,-36,2
4,-37,-35,-36,2
4,-37,-35,-41,2
4,-38,-31,-39,2
4,-37,-32,-38,2
4,-36,-34,-36,2
4,-36,-32,-37,2
4,-37,-36,-35,2
4,-36,-36,-36,2
4,-37,-34,-36,2
4,-38,-37,-36,2
4,-38,-35,-37,2
4,-35,-35,-35,2
4,-35,-39,-37,2
4,-37,-31,-36,2
4,-36,-36,-36,2
4,-37,-35,-37,2
4,-37,-35,-36,2
