Tile No,Receiver 1,Receiver 2,Receiver 3,Human Presence
10,-38,-36,-51,TRUE
10,-37,-38,-53,TRUE
10,-37,-38,-53,TRUE
10,-37,-38,-52,TRUE
10,-38,-37,-52,TRUE
10,-38,-39,-53,TRUE
10,-38,-38,-47,TRUE
10,-38,-38,-47,TRUE
10,-38,-38,-46,TRUE
10,-38,-37,-46,TRUE
10,-39,-37,-45,TRUE
10,-38,-38,-44,TRUE
10,-38,-36,-51,TRUE
10,-38,-36,-47,TRUE
10,-38,-37,-47,TRUE
10,-38,-37,-45,TRUE
10,-38,-37,-46,TRUE
10,-37,-37,-48,TRUE
10,-39,-38,-47,TRUE
10,-38,-37,-47,TRUE
10,-38,-37,-47,TRUE
10,-38,-38,-46,TRUE
11,-36,-37,-51,TRUE
11,-36,-35,-46,TRUE
11,-37,-35,-45,TRUE
11,-36,-36,-47,TRUE
11,-37,-35,-45,TRUE
11,-37,-35,-44,TRUE
11,-38,-36,-46,TRUE
11,-37,-35,-47,TRUE
11,-36,-35,-47,TRUE
11,-36,-36,-47,TRUE
11,-37,-35,-50,TRUE
11,-38,-35,-48,TRUE
11,-39,-36,-49,TRUE
11,-38,-38,-50,TRUE
11,-39,-36,-50,TRUE
11,-37,-38,-50,TRUE
11,-36,-36,-50,TRUE
11,-36,-36,-51,TRUE
11,-36,-36,-49,TRUE
11,-37,-37,-48,TRUE
11,-37,-36,-47,TRUE
11,-36,-35,-47,TRUE
11,-36,-35,-47,TRUE
11,-36,-36,-52,TRUE
11,-36,-36,-51,TRUE
11,-36,-35,-50,TRUE
11,-37,-35,-49,TRUE
11,-37,-36,-52,TRUE
11,-38,-38,-47,TRUE
11,-38,-36,-50,TRUE
11,-39,-36,-49,TRUE
11,-38,-36,-50,TRUE
11,-39,-35,-50,TRUE
11,-38,-36,-50,TRUE
11,-39,-36,-50,TRUE
11,-38,-35,-52,TRUE
11,-38,-35,-49,TRUE
11,-39,-35,-52,TRUE
11,-39,-36,-51,TRUE
11,-38,-36,-49,TRUE
11,-38,-36,-44,TRUE
11,-39,-32,-44,TRUE
11,-38,-36,-45,TRUE
11,-37,-36,-45,TRUE
11,-38,-36,-45,TRUE
11,-37,-37,-45,TRUE
12,-37,-36,-47,TRUE
12,-38,-32,-42,TRUE
12,-38,-33,-43,TRUE
12,-38,-33,-44,TRUE
12,-35,-31,-44,TRUE
12,-37,-32,-45,TRUE
12,-38,-33,-45,TRUE
12,-39,-33,-45,TRUE
12,-38,-32,-45,TRUE
12,-37,-34,-45,TRUE
12,-38,-31,-45,TRUE
12,-38,-31,-45,TRUE
12,-38,-31,-44,TRUE
12,-36,-33,-51,TRUE
12,-36,-34,-52,TRUE
12,-35,-35,-52,TRUE
12,-36,-35,-55,TRUE
12,-36,-35,-53,TRUE
12,-35,-35,-54,TRUE
12,-36,-35,-52,TRUE
12,-35,-32,-50,TRUE
12,-36,-34,-52,TRUE
12,-37,-34,-53,TRUE
12,-36,-35,-53,TRUE
12,-36,-35,-51,TRUE
12,-36,-35,-51,TRUE
12,-36,-36,-50,TRUE
12,-37,-32,-52,TRUE
12,-36,-32,-49,TRUE
12,-36,-35,-47,TRUE
12,-36,-34,-48,TRUE
12,-35,-32,-48,TRUE
12,-36,-32,-45,TRUE
12,-35,-34,-46,TRUE
12,-35,-32,-51,TRUE
12,-36,-31,-52,TRUE
12,-36,-35,-46,TRUE
12,-35,-32,-51,TRUE
12,-36,-31,-47,TRUE
12,-36,-31,-47,TRUE
12,-36,-33,-49,TRUE
12,-37,-33,-49,TRUE
12,-36,-33,-49,TRUE
12,-36,-33,-48,TRUE
12,-36,-33,-50,TRUE
12,-40,-33,-48,TRUE
12,-38,-32,-44,TRUE
13,-41,-36,-47,TRUE
13,-40,-37,-50,TRUE
13,-37,-37,-50,TRUE
13,-41,-34,-47,TRUE
13,-41,-34,-51,TRUE
13,-40,-32,-51,TRUE
13,-40,-36,-57,TRUE
13,-38,-34,-54,TRUE
13,-37,-32,-58,TRUE
13,-38,-35,-59,TRUE
13,-39,-35,-61,TRUE
13,-38,-35,-60,TRUE
13,-41,-35,-57,TRUE
13,-40,-35,-49,TRUE
13,-40,-32,-51,TRUE
13,-39,-35,-52,TRUE
13,-40,-36,-49,TRUE
13,-40,-36,-46,TRUE
13,-41,-36,-46,TRUE
13,-38,-35,-46,TRUE
13,-41,-36,-45,TRUE
13,-41,-36,-45,TRUE
13,-40,-36,-47,TRUE
13,-40,-34,-46,TRUE
13,-40,-33,-44,TRUE
13,-39,-31,-44,TRUE
13,-39,-34,-46,TRUE
13,-38,-34,-49,TRUE
13,-38,-34,-49,TRUE
13,-38,-34,-47,TRUE
13,-39,-35,-47,TRUE
13,-39,-36,-52,TRUE
13,-39,-38,-56,TRUE
13,-39,-39,-59,TRUE
13,-38,-35,-51,TRUE
13,-37,-36,-54,TRUE
13,-39,-36,-48,TRUE
13,-39,-38,-50,TRUE
13,-38,-37,-51,TRUE
13,-37,-35,-46,TRUE
13,-37,-35,-47,TRUE
13,-38,-35,-46,TRUE
13,-38,-36,-47,TRUE
13,-38,-35,-46,TRUE
13,-38,-35,-46,TRUE
13,-37,-36,-46,TRUE
14,-41,-36,-45,TRUE
14,-40,-36,-44,TRUE
14,-39,-37,-45,TRUE
14,-38,-36,-44,TRUE
14,-37,-41,-43,TRUE
14,-38,-35,-44,TRUE
14,-38,-36,-44,TRUE
14,-37,-35,-43,TRUE
14,-37,-34,-44,TRUE
14,-37,-35,-45,TRUE
14,-37,-35,-45,TRUE
14,-36,-34,-45,TRUE
14,-36,-32,-44,TRUE
14,-37,-34,-44,TRUE
14,-36,-32,-44,TRUE
14,-36,-34,-45,TRUE
14,-36,-34,-44,TRUE
14,-36,-32,-45,TRUE
14,-36,-34,-44,TRUE
14,-36,-34,-44,TRUE
14,-36,-32,-44,TRUE
14,-36,-32,-44,TRUE
14,-36,-36,-44,TRUE
14,-36,-35,-44,TRUE
14,-36,-32,-44,TRUE
14,-37,-35,-44,TRUE
14,-37,-32,-44,TRUE
14,-37,-35,-44,TRUE
14,-36,-35,-44,TRUE
14,-36,-35,-44,TRUE
14,-37,-34,-44,TRUE
14,-37,-32,-44,TRUE
14,-36,-32,-44,TRUE
14,-36,-35,-44,TRUE
14,-36,-34,-44,TRUE
14,-37,-35,-45,TRUE
14,-36,-35,-46,TRUE
14,-36,-35,-45,TRUE
14,-36,-35,-44,TRUE
14,-37,-35,-45,TRUE
14,-37,-35,-45,TRUE
14,-38,-35,-43,TRUE
14,-38,-35,-43,TRUE
14,-38,-35,-44,TRUE
14,-38,-36,-44,TRUE
14,-37,-35,-43,TRUE
15,-38,-32,-44,TRUE
15,-41,-35,-45,TRUE
15,-40,-36,-44,TRUE
15,-42,-38,-43,TRUE
15,-37,-38,-47,TRUE
15,-38,-37,-51,TRUE
15,-39,-36,-51,TRUE
15,-38,-34,-50,TRUE
15,-38,-35,-45,TRUE
15,-37,-32,-49,TRUE
15,-37,-35,-56,TRUE
15,-38,-32,-50,TRUE
15,-37,-32,-51,TRUE
15,-37,-35,-52,TRUE
15,-37,-32,-52,TRUE
15,-37,-34,-53,TRUE
15,-37,-32,-53,TRUE
15,-38,-34,-52,TRUE
15,-37,-34,-51,TRUE
15,-38,-31,-51,TRUE
15,-38,-31,-50,TRUE
15,-39,-33,-48,TRUE
15,-39,-31,-49,TRUE
15,-38,-33,-47,TRUE
15,-39,-35,-45,TRUE
15,-38,-36,-46,TRUE
15,-37,-32,-48,TRUE
15,-38,-32,-49,TRUE
15,-37,-36,-48,TRUE
15,-41,-36,-51,TRUE
15,-40,-40,-50,TRUE
15,-40,-42,-49,TRUE
15,-40,-43,-49,TRUE
15,-37,-41,-47,TRUE
15,-36,-37,-54,TRUE
15,-36,-39,-49,TRUE
15,-36,-38,-48,TRUE
15,-36,-37,-46,TRUE
15,-36,-39,-44,TRUE
15,-37,-39,-46,TRUE
15,-36,-38,-45,TRUE
15,-36,-38,-46,TRUE
15,-36,-39,-47,TRUE
15,-36,-38,-47,TRUE
15,-36,-37,-47,TRUE
15,-36,-37,-47,TRUE
15,-36,-37,-45,TRUE
16,-40,-38,-52,TRUE
16,-40,-32,-49,TRUE
16,-39,-34,-46,TRUE
16,-39,-34,-46,TRUE
16,-39,-35,-46,TRUE
16,-39,-34,-49,TRUE
16,-39,-32,-50,TRUE
16,-39,-32,-51,TRUE
16,-41,-35,-45,TRUE
16,-40,-34,-46,TRUE
16,-40,-32,-48,TRUE
16,-40,-32,-45,TRUE
16,-38,-34,-47,TRUE
16,-38,-34,-46,TRUE
16,-39,-31,-52,TRUE
16,-41,-33,-49,TRUE
16,-40,-36,-47,TRUE
16,-38,-32,-48,TRUE
16,-42,-33,-46,TRUE
16,-42,-32,-46,TRUE
16,-42,-34,-46,TRUE
16,-42,-34,-47,TRUE
16,-41,-32,-47,TRUE
16,-42,-32,-46,TRUE
16,-41,-32,-46,TRUE
16,-40,-34,-46,TRUE
16,-42,-38,-44,TRUE
16,-42,-39,-43,TRUE
16,-41,-37,-44,TRUE
16,-40,-37,-44,TRUE
16,-42,-37,-44,TRUE
16,-42,-37,-45,TRUE
16,-41,-38,-46,TRUE
16,-41,-38,-47,TRUE
16,-41,-39,-46,TRUE
16,-41,-39,-46,TRUE
16,-42,-39,-46,TRUE
16,-40,-39,-45,TRUE
16,-40,-39,-45,TRUE
16,-42,-39,-43,TRUE
16,-41,-37,-45,TRUE
16,-40,-38,-44,TRUE
16,-42,-38,-45,TRUE
16,-42,-38,-45,TRUE
16,-40,-37,-45,TRUE
16,-40,-37,-45,TRUE
17,-41,-37,-44,TRUE
17,-37,-33,-43,TRUE
17,-38,-36,-49,TRUE
17,-42,-36,-49,TRUE
17,-41,-36,-48,TRUE
17,-39,-39,-48,TRUE
17,-42,-37,-47,TRUE
17,-41,-37,-50,TRUE
17,-40,-38,-49,TRUE
17,-41,-37,-47,TRUE
17,-41,-37,-47,TRUE
17,-39,-37,-46,TRUE
17,-40,-36,-44,TRUE
17,-39,-32,-42,TRUE
17,-40,-34,-43,TRUE
17,-40,-34,-43,TRUE
17,-39,-35,-42,TRUE
17,-38,-37,-45,TRUE
17,-41,-32,-46,TRUE
17,-39,-34,-45,TRUE
17,-41,-34,-46,TRUE
17,-41,-34,-46,TRUE
17,-41,-31,-47,TRUE
17,-41,-34,-47,TRUE
17,-39,-31,-46,TRUE
17,-38,-31,-47,TRUE
17,-40,-31,-47,TRUE
17,-41,-34,-46,TRUE
17,-42,-37,-42,TRUE
17,-41,-37,-47,TRUE
17,-40,-39,-46,TRUE
17,-42,-37,-48,TRUE
17,-42,-35,-48,TRUE
17,-40,-35,-48,TRUE
17,-42,-35,-47,TRUE
17,-39,-35,-47,TRUE
17,-42,-37,-44,TRUE
17,-38,-37,-46,TRUE
17,-41,-32,-46,TRUE
17,-41,-34,-45,TRUE
17,-42,-34,-46,TRUE
17,-39,-38,-44,TRUE
17,-40,-35,-47,TRUE
17,-39,-31,-47,TRUE
17,-39,-34,-48,TRUE
17,-39,-31,-47,TRUE
17,-39,-33,-45,TRUE
18,-37,-33,-46,TRUE
18,-37,-33,-43,TRUE
18,-39,-32,-44,TRUE
18,-39,-33,-44,TRUE
18,-39,-33,-46,TRUE
18,-37,-31,-46,TRUE
18,-39,-31,-43,TRUE
18,-39,-31,-43,TRUE
18,-37,-35,-48,TRUE
18,-37,-35,-47,TRUE
18,-36,-34,-47,TRUE
18,-36,-35,-49,TRUE
18,-36,-35,-48,TRUE
18,-36,-35,-48,TRUE
18,-35,-36,-48,TRUE
18,-36,-35,-47,TRUE
18,-36,-35,-47,TRUE
18,-36,-35,-48,TRUE
18,-36,-35,-47,TRUE
18,-36,-37,-47,TRUE
18,-36,-36,-47,TRUE
18,-37,-36,-45,TRUE
18,-36,-35,-47,TRUE
18,-37,-31,-48,TRUE
18,-36,-32,-49,TRUE
18,-37,-32,-48,TRUE
18,-40,-35,-47,TRUE
18,-38,-41,-42,TRUE
18,-40,-37,-43,TRUE
18,-42,-44,-45,TRUE
18,-39,-43,-44,TRUE
18,-43,-37,-48,TRUE
18,-44,-41,-51,TRUE
18,-42,-41,-51,TRUE
18,-43,-40,-50,TRUE
18,-43,-40,-50,TRUE
18,-43,-40,-49,TRUE
18,-43,-40,-50,TRUE
18,-43,-40,-49,TRUE
18,-43,-39,-50,TRUE
18,-43,-41,-52,TRUE
18,-43,-40,-48,TRUE
18,-42,-39,-52,TRUE
18,-40,-38,-48,TRUE
18,-42,-41,-46,TRUE
18,-42,-38,-49,TRUE
19,-38,-38,-49,TRUE
19,-38,-37,-43,TRUE
19,-37,-32,-42,TRUE
19,-37,-31,-42,TRUE
19,-37,-34,-43,TRUE
19,-37,-33,-43,TRUE
19,-37,-33,-43,TRUE
19,-36,-31,-44,TRUE
19,-36,-31,-41,TRUE
19,-36,-33,-44,TRUE
19,-36,-33,-41,TRUE
19,-36,-33,-42,TRUE
19,-37,-31,-42,TRUE
19,-36,-32,-43,TRUE
19,-36,-33,-43,TRUE
19,-36,-33,-45,TRUE
19,-39,-35,-42,TRUE
19,-38,-32,-44,TRUE
19,-38,-35,-43,TRUE
19,-38,-34,-44,TRUE
19,-38,-35,-46,TRUE
19,-38,-32,-45,TRUE
19,-38,-32,-46,TRUE
19,-37,-33,-43,TRUE
19,-38,-35,-42,TRUE
19,-37,-32,-41,TRUE
19,-37,-36,-41,TRUE
19,-37,-35,-42,TRUE
19,-40,-32,-43,TRUE
19,-36,-36,-43,TRUE
19,-36,-35,-43,TRUE
19,-37,-35,-43,TRUE
